,Unnamed: 0,GENERATOR,UNIT,PLANT_ID,PNODE,ISO,CLUSTER,RETIRED_DATE,FUEL,new_gas_multiplier,new_gas_intercept,F1-score,R-squared,nat_gas_coeffs_exist
443,262,MCV      U13,GT13,10745,CONS.MCV,miso,MCV,,NG,10.415637860082304,-11.3360768175583,0.9318563402707374,,0
444,263,MCV      U14,GT14,10745,CONS.MCV,miso,MCV,,NG,7.580704160951074,-1.459533607681756,0.9359603211776686,,0
445,264,MCV      U15,BP15,10745,CONS.MCV,miso,MCV,,NG,7.664837677183356,-4.700502972107911,0.9536311788561403,,0
446,265,MCV      U2,ST2,10745,CONS.MCV,miso,MCV,,NG,9.0,0.0,1.0,,0
447,266,MCV      U3,GT3,10745,CONS.MCV,miso,MCV,,NG,9.885230909922267,-8.460905349794238,0.9209364308659496,,0
448,267,MCV      U4,GT4,10745,CONS.MCV,miso,MCV,,NG,7.664837677183356,-4.700502972107911,0.9480608440073044,,0
449,268,MCV      U5,GT5,10745,CONS.MCV,miso,MCV,,NG,7.0759030635573845,-3.061728395061729,0.9317374032902964,,0
450,269,MCV      U6,GT6,10745,CONS.MCV,miso,MCV,,NG,9.85230909922268,-4.459076360310929,0.8845754518958244,,0
451,270,MCV      U7,GT7,10745,CONS.MCV,miso,MCV,,NG,9.885230909922267,-10.392318244170095,0.9545207730577028,,0
452,271,MCV      U8,GT8,10745,CONS.MCV,miso,MCV,,NG,8.451303155006858,-2.984910836762689,0.9170761329481651,,0
453,272,MCV      U9,GT9,10745,CONS.MCV,miso,MCV,,NG,9.369455875628717,-7.308641975308642,0.909148564374644,,0
454,273,MGC      UNT01,"LEPA1, LEPA2",58478,LEPA.MGC_UNT01,miso,MGC,,NG,12.204389574759944,-6.006401463191587,0.3776964212350132,,0
455,274,MICHPWR  NUGU1,G101,54915,CONS.MIPOWER2,miso,MICHPWR,,NG,8.729309556470051,-9.01691815272062,0.9849104036671352,,0
