earliest_appearance,latest_appearance,latest_area,latest_zone,pmin_median,pmax_median,pmax_99_perc,pmax_max,eia_gen_id,epa_generator_id,fitting_param_x,fitting_param_intercept,energy_source_code,prime_mover_code,operating_year,retirement_month,retirement_year,planned_operation_month,planned_operation_year,category
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,34.9,35.9,36.0,1,1,,,WAT,HY,83.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,33.1,35.9,36.0,3,3,,,WAT,HY,83.0,,,,,hydro
ercot_rt_se_20170420_H01,ercot_rt_se_20240331_H24,ERC,NOTH,0.0,30.0,30.0,30.0,WBSS,WBSS,,,MWH,BA,7.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240325_H10,ERC,SCEN,0.0,29.1,29.6,30.0,2,2,,,WAT,HY,73.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,28.6,29.3,30.5,1,1,,,WAT,HY,73.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,24.0,28.0,31.0,33.0,2,2,,,WAT,HY,41.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,24.0,28.0,31.0,33.0,1,1,,,WAT,HY,41.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,22.0,34.0,34.0,BATT,BATT,,,MWH,BA,12.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,22.0,22.0,22.5,2,2,,,WAT,HY,71.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,22.0,22.0,22.5,1,1,,,WAT,HY,71.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,20.4,20.6,22.0,1,1,,,WAT,HY,73.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,20.0,20.4,22.0,2,2,,,WAT,HY,73.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,17.9,18.1,18.5,3,3,,,WAT,HY,74.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,16.8,17.9,18.0,1,1,,,WAT,HY,86.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,16.7,17.8,18.0,2,2,,,WAT,HY,86.0,,,,,hydro
ercot_rt_se_20230615_H15,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,16.4,16.4,16.4,SABAL,SABAL,,,MWH,BA,0.0,,,,,hydro
ercot_rt_se_20160101_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,13.4,13.7,14.0,1,1,,,WAT,HY,86.0,,,,,hydro
ercot_rt_se_20190531_H17,ercot_rt_se_20230726_H24,ERC,SCEN,0.0,10.0,10.0,10.0,BA1,BA1,,,MWH,BA,5.0,,,,,hydro
ercot_rt_se_20230727_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,10.0,10.0,10.0,BA1,BA1,,,MWH,BA,5.0,,,,,hydro
ercot_rt_se_20210129_H01,ercot_rt_se_20231115_H24,ERC,FWES,0.0,9.9,9.9,9.9,TX7,TX7,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20231116_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,9.9,9.9,9.9,FLRV1,FLRV1,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20230330_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,9.9,9.9,9.9,RANCH,RANCH,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20190927_H17,ercot_rt_se_20230111_H24,ERC,FWES,0.0,9.9,9.9,9.9,TX7,TX7,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTEL,SMTEL,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230504_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTR1,SMTR1,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTMB,SMTMB,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20221027_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,MANGO,MANGO,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20221020_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,H8S,H8S,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20220505_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,10.0,HOLCO,HOLCO,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20171005_H01,ercot_rt_se_20240331_H24,ERC,WEST,0.0,9.9,9.9,9.9,INABT,INABT,,,MWH,BA,6.0,,,,,hydro
ercot_rt_se_20230504_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTAL,SMTAL,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230309_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,LOOP,LOOP,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20190816_H17,ercot_rt_se_20230524_H24,ERC,COAS,0.0,9.9,9.9,9.9,BESS,BESS,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20221020_H01,ercot_rt_se_20240331_H24,ERC,COAS,0.0,9.9,9.9,9.9,DIKN,DIKN,,,MWH,BA,3.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTLF,SMTLF,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230202_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,9.9,9.9,9.9,GOMEZ,GOMEZ,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230202_H01,ercot_rt_se_20240331_H24,ERC,NCEN,0.0,9.9,9.9,9.9,OLNEY,OLNEY,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230602_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,SMTNM,SMTNM,,,MWH,BA,1.0,,,,,hydro
ercot_rt_se_20230330_H01,ercot_rt_se_20240331_H24,ERC,FWES,0.0,9.9,9.9,9.9,ODSA,ODSA,,,MWH,BA,4.0,,,,,hydro
ercot_rt_se_20230928_H01,ercot_rt_se_20240331_H24,ERC,SOUT,0.0,9.9,9.9,9.9,LOPE,LOPE,,,MWH,BA,2.0,,,,,hydro
ercot_rt_se_20230518_H01,ercot_rt_se_20240331_H24,ERC,SCEN,0.0,9.9,9.9,9.9,1,1,,,MWH,BA,4.0,,,,,hydro
