orispl,unit,from_datetime,to_datetime,gload_max,gload_p90,gload_min,from_datetime_fitting,to_datetime_fitting,data_url,fitting_param_x,fitting_param_intercept,r2_score
4040,21,2005-07-15 03:00:00-05:00,2023-12-31 17:00:00-06:00,341.0,296.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4040_21.parquet,6.530539943821696,52.769329483780254,0.960574581190111
4040,22,2005-07-15 03:00:00-05:00,2023-12-31 17:00:00-06:00,341.0,298.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4040_22.parquet,6.605238281553472,31.818870117513583,0.9622342716220108
4041,5,1994-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,277.0,243.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4041_5.parquet,9.612982890713306,193.467626082812,0.983027245609513
4041,6,1994-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,280.0,245.0,0.0,2020-01-05 01:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4041_6.parquet,9.540658329348823,204.2749242396297,0.9806876606216306
4041,7,1994-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,328.0,301.0,0.0,2020-01-01 00:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4041_7.parquet,9.257965085932346,173.83961092648633,0.9855819872635567
4041,8,1995-03-16 07:00:00-06:00,2023-12-31 17:00:00-06:00,330.0,303.0,0.0,2020-01-05 08:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4041_8.parquet,9.280437447033378,167.84575261016494,0.985506312242426
4050,5,1996-12-31 18:00:00-06:00,2023-12-31 17:00:00-06:00,452.0,417.0,0.0,2020-01-07 03:00:00-06:00,2023-12-31 17:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4050_5.parquet,10.320676812081317,26.405532796054796,0.9954299007976259
4072,32,2003-09-10 07:00:00-05:00,2023-12-19 02:00:00-06:00,106.0,81.0,0.0,2020-01-06 00:00:00-06:00,2023-12-19 02:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4072_32.parquet,11.87246601451023,0.0,0.9715156536165942
4076,**33,1997-01-05 11:00:00-06:00,2023-12-10 13:00:00-06:00,104.0,77.0,0.0,2020-01-09 08:00:00-06:00,2023-12-10 13:00:00-06:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4076_**33.parquet,12.13293771611849,0.0,0.9277553153822609
4076,**34,2000-08-07 04:00:00-05:00,2023-12-21 02:00:00-06:00,100.0,78.0,0.0,2020-01-02 09:00:00-06:00,2023-10-09 01:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4076_**34.parquet,13.245725925180796,0.0,0.9220667111579753
4076,31A,2008-01-01 11:00:00-06:00,2023-08-24 06:00:00-05:00,25.0,18.0,0.0,2020-01-03 10:00:00-06:00,2023-08-24 06:00:00-05:00,gs://marginalunit-economic-modeling/physical_property/MISO/2024-04-11-AR_IL_IN_IA_KY_LA_MI_MN_MS_MO_MT_ND_SD_WI/heat_input_curve_timeseries/4076_31A.parquet,12.71769278260281,41.40404510155408,0.8117943994575164
