1,2,3,4,5,6,7,8,9,10,11,12,unit_id,name
0.49009495983318746,0.5933889271744326,0.5515398625519999,0.5937248028720474,0.7021356914065855,0.6495390102067922,0.5296347318690237,0.48247659370805607,0.39228140006097706,0.36634069114312273,0.3216139228086381,0.18709726777080188,1,FTGIB1 13.8 11 1 UN
0.47510072753943233,0.5699619253622932,0.5310417236056295,0.5694113270054046,0.6679227609760241,0.620245900720332,0.5107123404677311,0.46762219376725894,0.38527786346580417,0.361655669629926,0.32085646112792,0.19766615179466052,2,FTGIB1 13.8 12 2 UN
0.6965520026235733,0.5349808391525408,0.7406432010733088,0.7814471113270722,0.9134611462038051,0.8157747625389898,0.8360200458458563,0.847085757066946,0.8480158187904113,0.8308721877395011,0.8214410637020143,0.9327719980019115,1,FTGIB1 13.8 13 3 UN
0.4563120768649985,0.5417560574106869,0.5144405517014456,0.5548971653000374,0.6602805183216317,0.6074007974372322,0.4995035529979157,0.4572293778434997,0.37532150715124635,0.3508575171106601,0.30972514718999533,0.1932940164775922,3,FTGIB1 13.8 13 3 UN
0.6972246979239644,0.5416419742930857,0.7411292492286368,0.7815233697670195,0.9117582595692023,0.815834509050903,0.8336020368605502,0.8436102722446313,0.8430588429560335,0.8259546844954032,0.8160534185718151,0.9222350586651281,2,FTGIB1 13.8 14 4 UN
0.46056053914168366,0.5460605370731733,0.5399169156770944,0.5965398317880232,0.7475735290370207,0.6674609112346852,0.5342065746391929,0.4824286264551342,0.3792848823965502,0.3460812616894639,0.2929228294411479,0.16144095939962555,4,FTGIB1 13.8 14 4 UN
0.49224375226161843,0.44329431317099954,0.5467244370155624,0.5904086878866757,0.7188627012039994,0.6364843485637891,0.5935448158377008,0.5785071636217447,0.5376808596633237,0.5155572377257388,0.4894134454550302,0.4940814445909031,1,FTPECK 13.8 10 FTPECK_5_UNIT UN
0.42282094152123173,0.3966781001447757,0.4933947930927328,0.5483176075724812,0.7061428587824845,0.6089085527516257,0.5364799734496978,0.5099002553470141,0.44663382637958826,0.41774252095379666,0.38029265931710243,0.3534748397476758,2,FTPECK 13.8 10 FTPECK_5_UNIT UN
1.3622007622942851e-18,9.051094323777843e-18,4.221375332298811e-18,6.055524473500045e-18,1.0437039092264971e-17,8.722680168452194e-18,1.843443462427298e-18,0.0,0.0,0.0,0.0,0.0,2,FTPECK 13.8 6 FTPECK_1_UNIT UN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.370096993822834e-17,5.543753677970297e-17,6.337673253604725e-17,8.176412454189086e-17,1.6967545298821244e-16,3,FTPECK 13.8 6 FTPECK_1_UNIT UN
0.012573095031692133,0.015621501871450798,0.012816063415078528,0.012864892801728995,0.012686250395958705,0.013149699863061793,0.01148508020982725,0.010795628868778542,0.009703618624834065,0.00958456929254796,0.009153856579671153,0.006293771267085042,4,FTPECK 13.8 6 FTPECK_1_UNIT UN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FTPECK 13.8 7 FTPECK_2_UNIT UN
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,FTPECK 13.8 7 FTPECK_2_UNIT UN
0.008484823535744368,0.012280640827801326,0.008056205922012392,0.007560101696018366,0.00576487120731037,0.007280428726552366,0.00608018616694864,0.005548667561229505,0.0049198117894507535,0.005072582786444308,0.004950298342767274,0.0019056696541672495,3,FTPECK 13.8 7 FTPECK_2_UNIT UN
0.11270599151374515,0.09770812300433344,0.08228309747374712,0.05978093518814961,0.0,0.03302362946692523,0.07609138239236896,0.0925539366768077,0.12714352709799315,0.1397618667300602,0.1584315294423207,0.19315737868742516,1,FTPECK 13.8 8 FTPECK_3_UNIT UN
0.4225472590465613,0.4929282651127175,0.4859901865114087,0.5311678648841258,0.651448369189274,0.5879162440865295,0.4804697665891117,0.43868883768115063,0.35566419426698204,0.32910629865894314,0.2864129455076534,0.1795102057833265,1,FTPECK 13.8 9 FTPECK_4_UNIT UN
0.42716361839858147,0.4356752276977378,0.42529071866410206,0.42348378794881075,0.41749689469890233,0.4220656498020096,0.420462322154589,0.41967821159422297,0.4191795418090589,0.41989748046596576,0.42013958703714543,0.4139567556472426,2,FTPECK 13.8 9 FTPECK_4_UNIT UN
0.46873236548374425,0.4557978143535134,0.5435341877835659,0.6010870688403731,0.7649684998182787,0.6656666801270263,0.5822364709046214,0.5512495053223991,0.480077475976879,0.44936314424358637,0.4082490413979601,0.36679503185118123,5,FTPECK 13.8 9 FTPECK_4_UNIT UN
0.5584509586729068,0.480505987675949,0.567873914227836,0.5785345435234515,0.6167355698638946,0.584816677222887,0.6087212888362343,0.619357774576204,0.6316496630762684,0.6282567182485267,0.6304158057021025,0.6924963157650439,1,FTRANDL 13.8 0 FTRAND_1_UNIT UN
0.5375612578551903,0.4256780430102267,0.5529729285886964,0.5697117334612442,0.6286025971711743,0.5803652327852584,0.6124277971749456,0.6268522000695798,0.6426109740531192,0.6369643192977449,0.6389956114347803,0.7267740897300377,2,FTRANDL 13.8 0 FTRAND_1_UNIT UN
0.48993201186310203,0.5445773278343206,0.5152600734574845,0.5321097644174001,0.574021593630341,0.5554098167111733,0.5005428514485526,0.4788048934234396,0.43826456594021923,0.4274963096322112,0.4078992818348584,0.3418088389994418,2,FTRANDL 13.8 1 FTRAND_2_UNIT UN
